building_id,vegetation_presence,solar_panel_presence,facade_material,roof_type,window_wall_ratio,surrounding_green_space,green_certification,solar_installation,green_roof,year_built,insulation_type,hvac_type,building_function,energy_consumption_sqft,carbon_emission_tons,rainwater_harvesting,smart_systems,Environment Design,energy_efficiency_score
42,0,0,bamboo,green,0.52,0.11,BREEAM,0,1,2005,eco,conventional,institutional,20.66,8.53,0,1,Green,C
43,1,0,recycled,green,0.45,0.64,BREEAM,0,0,2007,none,conventional,commercial,35.46,15.61,0,1,Green,C
44,0,1,bamboo,green,0.66,0.23,GreenMark,1,0,1999,eco,conventional,commercial,5.82,2.3,0,1,Non-Green,A
45,1,0,recycled,green,0.89,0.52,LEED,0,0,1978,standard,renewable,institutional,7.06,2.32,1,0,Non-Green,C
46,1,1,concrete,green,0.57,0.51,GreenMark,1,1,2007,eco,renewable,commercial,5.0,1.0,0,0,Non-Green,A
47,1,0,glass,green,0.61,0.71,BREEAM,0,0,1979,eco,renewable,commercial,5.0,1.75,0,0,Non-Green,B
48,1,0,bamboo,flat,0.46,0.23,,0,0,2007,standard,renewable,commercial,23.42,10.97,0,0,Non-Green,C
49,0,0,glass,flat,0.22,0.25,,0,1,2014,eco,renewable,institutional,16.05,7.14,0,0,Green,C
50,1,0,glass,green,0.49,0.18,LEED,0,0,1967,none,renewable,industrial,15.31,6.82,0,0,Green,B
51,1,1,steel,green,0.36,0.19,,1,0,1981,none,renewable,residential,24.44,12.0,0,1,Green,C
52,1,1,steel,green,0.89,0.38,BREEAM,1,0,2014,standard,conventional,industrial,29.31,13.76,0,1,Non-Green,B
53,1,1,bamboo,flat,0.35,0.71,,1,1,2019,none,conventional,residential,72.42,32.49,0,0,Green,D
54,0,1,concrete,flat,0.31,0.72,GreenMark,1,0,1999,none,conventional,industrial,83.64,37.73,0,1,Non-Green,D
55,1,0,concrete,green,0.81,0.56,BREEAM,0,0,2013,eco,renewable,institutional,14.11,5.69,0,1,Green,D
56,1,1,recycled,green,0.21,0.55,GreenMark,1,0,1996,standard,conventional,commercial,5.0,1.04,0,0,Green,A
57,1,0,bamboo,flat,0.84,0.12,LEED,0,1,1977,none,conventional,commercial,7.88,2.91,1,0,Green,A
58,0,0,steel,green,0.36,0.54,LEED,0,0,2006,eco,conventional,residential,12.71,5.68,1,0,Non-Green,C
59,1,0,steel,flat,0.67,0.57,LEED,0,0,1975,eco,renewable,institutional,8.58,3.82,0,0,Green,C
60,1,0,bamboo,flat,0.69,0.28,GreenMark,0,0,1976,standard,renewable,commercial,16.15,7.58,0,1,Green,D
61,1,0,wood,green,0.26,0.68,LEED,0,0,2022,none,conventional,industrial,42.56,18.62,1,1,Green,D
62,0,0,recycled,flat,0.41,0.61,BREEAM,0,1,1987,eco,conventional,institutional,17.07,7.16,0,0,Non-Green,C
63,0,1,recycled,green,0.67,0.71,BREEAM,1,0,1973,none,renewable,institutional,11.28,4.62,0,0,Non-Green,C
64,0,0,concrete,green,0.43,0.12,BREEAM,0,1,2006,none,conventional,institutional,28.48,12.44,0,0,Green,B
65,1,0,concrete,flat,0.83,0.22,LEED,0,1,1992,eco,conventional,residential,24.89,10.68,0,1,Non-Green,D
66,0,0,concrete,green,0.83,0.7,GreenMark,0,1,1993,eco,renewable,institutional,5.0,1.0,0,0,Green,A
67,0,0,steel,green,0.65,0.12,,0,0,2016,eco,renewable,commercial,12.42,5.06,0,1,Green,B
68,0,1,wood,green,0.61,0.22,LEED,1,0,1967,none,conventional,institutional,17.5,7.38,0,1,Non-Green,B
69,1,0,wood,flat,0.76,0.28,BREEAM,0,0,1963,standard,conventional,industrial,44.31,19.85,0,0,Non-Green,D
70,1,1,wood,flat,0.22,0.64,,1,1,2001,eco,conventional,institutional,30.72,14.04,0,0,Non-Green,C
71,1,1,recycled,green,0.83,0.75,GreenMark,1,1,2019,none,renewable,residential,16.9,7.59,1,1,Green,D
72,1,0,bamboo,flat,0.21,0.46,GreenMark,0,0,2009,eco,conventional,industrial,12.07,5.42,1,1,Non-Green,A
73,1,0,concrete,flat,0.39,0.5,,0,1,1979,eco,conventional,residential,5.7,2.0,0,1,Green,A
74,1,1,wood,flat,0.67,0.17,,1,1,1964,none,conventional,institutional,40.86,19.0,0,1,Non-Green,B
75,1,1,steel,flat,0.43,0.48,GreenMark,1,1,2005,eco,conventional,institutional,5.0,1.67,0,1,Green,A
76,1,1,bamboo,green,0.74,0.52,LEED,1,0,2010,standard,conventional,institutional,8.52,3.77,0,1,Non-Green,B
77,1,1,glass,flat,0.44,0.43,LEED,1,1,2002,standard,renewable,commercial,17.78,7.2,0,1,Non-Green,D
78,0,0,concrete,green,0.65,0.47,BREEAM,0,1,1971,standard,conventional,industrial,30.87,14.05,0,0,Non-Green,B
79,0,0,steel,green,0.89,0.55,GreenMark,0,0,2021,standard,renewable,industrial,12.34,6.29,0,1,Non-Green,C
80,0,0,steel,green,0.83,0.77,LEED,0,1,2018,none,renewable,residential,12.27,5.26,1,0,Green,C
81,1,1,concrete,flat,0.52,0.58,,1,0,2021,standard,conventional,institutional,50.87,22.91,0,1,Green,C
82,1,0,glass,flat,0.66,0.75,,0,0,1989,standard,conventional,residential,19.12,8.06,0,1,Green,A
83,1,0,glass,green,0.61,0.47,,0,1,1980,eco,conventional,residential,26.54,11.42,0,0,Green,C
84,1,0,glass,green,0.63,0.26,BREEAM,0,0,2020,eco,renewable,residential,5.66,3.01,0,0,Green,B
85,1,0,wood,green,0.52,0.75,BREEAM,0,1,1994,standard,renewable,institutional,7.91,4.42,0,1,Green,D
86,1,0,bamboo,green,0.54,0.53,,0,0,2002,none,renewable,commercial,26.75,11.64,0,0,Non-Green,B
87,1,1,recycled,green,0.86,0.56,,1,0,2022,eco,conventional,industrial,5.0,1.79,0,0,Non-Green,A
88,1,0,glass,green,0.9,0.65,,0,0,1985,standard,conventional,industrial,79.66,36.86,1,0,Green,D
89,0,1,bamboo,green,0.57,0.25,,1,0,1977,none,renewable,commercial,39.61,17.12,0,0,Green,D
90,1,0,recycled,green,0.56,0.56,,0,1,1990,standard,renewable,residential,34.35,14.84,0,0,Green,E
91,0,0,bamboo,flat,0.5,0.07,BREEAM,0,0,1977,none,renewable,industrial,37.76,16.76,1,0,Non-Green,E
92,1,1,recycled,green,0.59,0.64,,1,0,1980,standard,conventional,industrial,38.63,18.37,0,1,Green,B
93,0,1,steel,green,0.72,0.36,LEED,1,0,1965,eco,renewable,commercial,5.0,1.0,0,1,Green,A
94,1,0,concrete,flat,0.28,0.57,GreenMark,0,1,1998,none,conventional,commercial,46.38,21.4,0,1,Green,C
95,1,1,bamboo,flat,0.76,0.2,BREEAM,1,0,1986,none,conventional,institutional,45.22,21.36,0,0,Green,D
96,1,0,concrete,green,0.38,0.12,,0,0,1960,none,conventional,residential,14.2,5.86,0,0,Green,A
97,1,0,recycled,green,0.32,0.53,,0,0,2011,eco,conventional,institutional,11.22,5.87,0,0,Green,A
98,1,0,recycled,flat,0.41,0.05,GreenMark,0,0,1978,eco,renewable,institutional,5.0,1.0,0,1,Non-Green,A
99,1,0,bamboo,flat,0.56,0.62,LEED,0,1,1964,standard,conventional,industrial,20.15,9.49,0,0,Non-Green,C
100,1,0,steel,green,0.5,0.8,LEED,0,0,2007,none,conventional,residential,5.0,1.38,0,1,Green,A
101,1,0,glass,green,0.33,0.5,BREEAM,0,0,2007,standard,conventional,industrial,42.97,19.96,0,1,Green,C
102,0,0,concrete,flat,0.46,0.42,GreenMark,0,1,2016,eco,conventional,institutional,19.18,7.85,0,0,Green,B
103,1,0,recycled,green,0.88,0.26,BREEAM,0,0,1975,eco,renewable,residential,5.0,1.0,0,0,Green,A
104,0,0,concrete,flat,0.83,0.75,GreenMark,0,1,1992,none,renewable,residential,24.57,10.95,0,1,Green,D
105,1,1,bamboo,flat,0.44,0.14,GreenMark,1,1,1965,eco,conventional,commercial,25.87,12.44,0,1,Green,D
106,0,0,wood,flat,0.37,0.06,LEED,0,0,1988,none,conventional,residential,19.59,8.53,0,1,Green,C
107,1,0,recycled,flat,0.9,0.69,,0,0,1969,none,renewable,industrial,60.95,26.84,0,0,Green,E
108,1,1,glass,green,0.42,0.75,LEED,1,0,1982,none,renewable,industrial,17.46,7.03,0,1,Green,B
109,0,0,concrete,flat,0.2,0.78,LEED,0,1,1967,eco,renewable,commercial,6.85,2.9,1,0,Green,B
110,1,0,steel,flat,0.55,0.4,BREEAM,0,1,2000,standard,conventional,residential,16.99,8.29,0,1,Non-Green,C
111,0,0,glass,green,0.81,0.8,BREEAM,0,0,2013,standard,renewable,institutional,10.79,4.3,0,1,Green,C
112,0,0,glass,green,0.85,0.52,,0,0,1998,eco,conventional,residential,38.84,17.43,0,1,Green,C
113,0,1,bamboo,green,0.43,0.19,GreenMark,1,0,1966,standard,conventional,commercial,41.65,19.02,1,0,Non-Green,D
114,0,1,recycled,green,0.43,0.41,BREEAM,1,0,2017,none,conventional,industrial,58.66,27.3,0,0,Non-Green,D
115,0,0,bamboo,green,0.38,0.73,BREEAM,0,0,1977,none,renewable,commercial,5.0,1.53,0,1,Green,A
116,1,1,concrete,flat,0.43,0.72,GreenMark,1,1,1996,eco,conventional,commercial,5.0,1.43,0,1,Non-Green,A
117,1,1,concrete,flat,0.64,0.51,BREEAM,1,1,1962,none,conventional,residential,45.07,20.92,0,0,Green,C
118,1,0,concrete,green,0.67,0.29,LEED,0,1,2009,standard,conventional,residential,12.06,5.52,1,1,Green,C
119,1,1,concrete,green,0.36,0.23,,1,0,1996,none,conventional,commercial,35.51,15.75,0,1,Green,A
120,1,0,concrete,green,0.8,0.35,LEED,0,1,1977,standard,renewable,residential,6.86,2.23,0,1,Green,C
121,1,1,wood,flat,0.8,0.79,BREEAM,1,1,1960,standard,conventional,commercial,17.65,8.85,0,0,Green,B
122,0,1,steel,flat,0.23,0.18,BREEAM,1,0,1983,none,renewable,commercial,23.63,10.2,0,0,Non-Green,C
123,0,0,glass,green,0.52,0.79,BREEAM,0,0,1960,eco,renewable,industrial,9.97,5.21,1,1,Non-Green,C
124,1,0,bamboo,green,0.71,0.36,,0,0,1966,standard,conventional,industrial,62.41,27.56,0,0,Green,D
125,0,0,steel,flat,0.4,0.36,BREEAM,0,1,1972,eco,conventional,industrial,5.0,1.74,0,0,Non-Green,A
126,0,0,glass,flat,0.57,0.73,BREEAM,0,0,1986,eco,renewable,commercial,10.22,4.83,0,0,Non-Green,C
127,1,1,wood,flat,0.45,0.26,,1,0,1962,standard,conventional,industrial,54.17,24.6,0,1,Non-Green,C
128,1,1,recycled,flat,0.24,0.67,GreenMark,1,0,1994,standard,renewable,residential,5.0,1.0,0,0,Green,A
129,1,0,recycled,green,0.21,0.58,BREEAM,0,1,1964,standard,renewable,institutional,16.24,7.27,0,1,Green,D
130,1,0,concrete,flat,0.4,0.26,,0,1,1976,none,conventional,industrial,143.67,64.43,1,1,Green,E
131,1,0,wood,flat,0.22,0.74,,0,0,1976,none,conventional,commercial,129.88,58.13,1,1,Green,E
132,1,0,recycled,flat,0.6,0.43,LEED,0,0,1972,standard,conventional,commercial,26.45,12.83,0,1,Non-Green,D
133,0,0,bamboo,green,0.82,0.68,BREEAM,0,1,1980,none,conventional,residential,20.07,8.71,0,1,Green,B
134,1,0,recycled,green,0.32,0.5,GreenMark,0,1,1987,standard,renewable,institutional,12.89,5.41,0,1,Green,C
135,1,1,glass,flat,0.22,0.48,BREEAM,1,1,1996,standard,conventional,institutional,18.01,7.66,0,0,Non-Green,B
136,0,0,concrete,green,0.82,0.78,LEED,0,1,2003,standard,conventional,industrial,15.66,6.36,0,0,Green,A
137,1,0,recycled,flat,0.27,0.5,LEED,0,0,1985,eco,conventional,commercial,6.2,2.65,0,0,Green,A
138,1,1,concrete,flat,0.64,0.07,BREEAM,1,1,2010,standard,renewable,industrial,7.38,3.8,1,1,Non-Green,A
139,0,0,wood,flat,0.51,0.15,BREEAM,0,0,2007,none,renewable,industrial,21.85,9.62,0,0,Non-Green,D
140,0,1,recycled,flat,0.31,0.4,,1,1,2015,eco,renewable,institutional,6.62,3.33,0,1,Green,B
141,1,1,glass,green,0.68,0.38,LEED,1,0,1983,standard,conventional,residential,17.87,8.41,0,1,Green,B
142,1,0,steel,flat,0.3,0.24,LEED,0,1,1986,standard,conventional,residential,28.44,12.72,0,0,Non-Green,C
143,0,0,recycled,green,0.25,0.32,,0,1,2011,none,renewable,industrial,23.31,10.98,0,1,Green,C
144,0,0,concrete,green,0.3,0.64,GreenMark,0,0,1976,none,conventional,commercial,39.61,17.65,0,0,Green,B
145,1,0,steel,green,0.42,0.12,LEED,0,0,1963,standard,conventional,commercial,15.82,6.55,0,0,Non-Green,B
146,1,0,concrete,green,0.39,0.25,BREEAM,0,0,1972,eco,conventional,institutional,15.23,6.04,0,1,Green,B
147,1,0,steel,green,0.22,0.58,GreenMark,0,1,1970,standard,conventional,residential,21.31,10.29,0,0,Non-Green,C
148,0,0,glass,flat,0.46,0.26,LEED,0,1,1991,eco,conventional,institutional,13.77,6.34,0,1,Non-Green,B
149,1,0,glass,flat,0.66,0.28,GreenMark,0,1,1962,eco,conventional,institutional,24.41,10.66,0,1,Non-Green,C
150,1,0,recycled,flat,0.76,0.51,,0,0,2011,eco,conventional,commercial,13.91,6.18,0,0,Non-Green,B
151,0,1,steel,green,0.48,0.64,,1,0,1997,standard,renewable,industrial,19.07,9.46,0,0,Non-Green,C
152,0,0,glass,green,0.25,0.63,GreenMark,0,0,1967,standard,renewable,commercial,6.19,3.09,0,0,Green,B
153,1,0,recycled,green,0.32,0.46,BREEAM,0,0,1975,standard,renewable,residential,5.0,1.02,1,1,Non-Green,B
154,1,0,concrete,green,0.74,0.02,,0,0,1998,none,conventional,institutional,55.37,25.18,0,1,Non-Green,C
155,1,1,concrete,flat,0.56,0.55,BREEAM,1,1,1994,none,conventional,institutional,41.02,18.29,0,1,Green,C
156,1,0,concrete,flat,0.45,0.17,BREEAM,0,0,2018,none,renewable,commercial,30.59,13.65,1,1,Green,D
157,0,1,bamboo,green,0.55,0.17,GreenMark,1,1,1975,standard,conventional,institutional,11.78,4.55,0,0,Non-Green,B
158,0,1,wood,flat,0.44,0.7,GreenMark,1,0,2022,eco,conventional,industrial,38.79,16.98,0,1,Non-Green,D
159,0,0,concrete,green,0.78,0.0,,0,0,2008,eco,conventional,commercial,31.36,14.54,1,1,Non-Green,C
160,0,1,glass,flat,0.33,0.02,GreenMark,1,0,2018,standard,conventional,commercial,45.6,20.73,1,0,Green,D
161,0,0,bamboo,green,0.61,0.35,,0,0,2021,standard,renewable,commercial,16.74,7.65,1,1,Green,C
162,0,0,recycled,flat,0.72,0.02,GreenMark,0,1,1995,eco,conventional,commercial,16.36,7.84,1,1,Non-Green,C
163,0,0,bamboo,flat,0.84,0.76,GreenMark,0,0,2002,none,renewable,industrial,20.06,8.9,0,0,Non-Green,C
164,0,0,steel,green,0.37,0.73,,0,0,1974,none,renewable,institutional,54.17,25.06,0,1,Non-Green,E
165,1,0,glass,green,0.21,0.01,GreenMark,0,1,1966,standard,renewable,institutional,5.0,1.04,0,1,Non-Green,A
166,1,1,recycled,green,0.24,0.55,GreenMark,1,1,1998,eco,renewable,industrial,5.0,1.23,0,0,Green,B
167,1,0,concrete,flat,0.83,0.6,BREEAM,0,0,1971,eco,conventional,institutional,13.86,6.69,1,1,Non-Green,C
168,1,0,wood,flat,0.58,0.5,BREEAM,0,0,2001,eco,renewable,residential,5.0,1.9,0,0,Green,C
169,1,0,recycled,flat,0.31,0.54,BREEAM,0,0,2003,standard,conventional,industrial,44.35,20.86,0,1,Non-Green,D
170,0,0,glass,green,0.21,0.45,,0,0,2009,standard,conventional,residential,12.08,5.17,0,0,Green,A
171,1,1,wood,flat,0.58,0.66,BREEAM,1,0,1981,none,renewable,residential,12.83,5.16,0,0,Green,C
172,1,0,wood,flat,0.37,0.38,BREEAM,0,1,1977,standard,conventional,residential,34.29,15.72,0,1,Green,D
173,1,0,glass,flat,0.9,0.2,,0,0,2002,none,renewable,institutional,38.28,16.72,0,1,Green,C
174,1,0,concrete,flat,0.43,0.08,,0,0,1979,none,conventional,industrial,89.35,41.25,0,1,Green,D
175,1,0,wood,flat,0.2,0.39,,0,0,2022,eco,renewable,commercial,7.9,4.36,0,1,Non-Green,B
176,1,0,glass,green,0.49,0.18,,0,1,2009,eco,conventional,industrial,23.85,10.27,0,1,Non-Green,B
177,0,1,recycled,green,0.61,0.23,BREEAM,1,0,1961,standard,conventional,industrial,7.22,2.42,0,1,Green,A
178,1,0,glass,flat,0.68,0.17,GreenMark,0,0,1980,standard,conventional,commercial,46.05,21.22,0,1,Green,C
179,1,1,bamboo,flat,0.66,0.78,,1,0,2012,standard,renewable,commercial,18.63,8.18,0,1,Non-Green,B
180,1,0,wood,green,0.66,0.43,,0,0,1976,eco,renewable,industrial,9.55,4.06,1,0,Non-Green,B
181,1,0,recycled,flat,0.25,0.66,,0,0,2010,standard,conventional,institutional,29.63,13.13,1,0,Non-Green,B
182,1,0,concrete,flat,0.46,0.79,BREEAM,0,0,2004,standard,conventional,institutional,22.11,9.92,0,1,Green,B
183,0,1,recycled,flat,0.25,0.65,,1,0,2004,eco,renewable,institutional,5.36,2.88,0,0,Green,B
184,0,1,glass,flat,0.76,0.37,,1,0,1996,standard,renewable,institutional,29.34,14.1,0,0,Green,D
185,0,0,bamboo,green,0.67,0.27,GreenMark,0,0,1962,none,conventional,residential,5.0,2.16,1,0,Green,A
186,1,1,bamboo,flat,0.78,0.25,LEED,1,1,1963,eco,conventional,residential,19.4,9.4,0,0,Green,D
187,1,1,bamboo,flat,0.65,0.13,LEED,1,0,1967,standard,conventional,institutional,15.35,7.67,0,0,Green,C
188,0,0,concrete,flat,0.41,0.14,BREEAM,0,1,2000,eco,conventional,industrial,17.82,8.94,0,0,Non-Green,C
189,0,0,glass,flat,0.63,0.77,BREEAM,0,0,2003,eco,conventional,commercial,20.78,10.19,0,0,Non-Green,B
190,0,0,steel,flat,0.54,0.12,BREEAM,0,1,1969,eco,conventional,industrial,20.5,10.14,0,0,Non-Green,C
191,1,0,glass,flat,0.72,0.31,BREEAM,0,0,2008,eco,conventional,industrial,36.93,16.7,1,0,Green,D
192,0,1,glass,green,0.89,0.56,,1,0,1961,standard,conventional,institutional,35.5,16.94,1,1,Non-Green,B
193,0,1,steel,flat,0.36,0.07,,1,1,1997,standard,conventional,industrial,31.95,13.62,0,0,Non-Green,A
194,1,0,concrete,green,0.67,0.15,BREEAM,0,1,1976,eco,conventional,commercial,27.75,12.61,1,0,Green,D
195,0,0,recycled,flat,0.72,0.6,BREEAM,0,1,1961,standard,conventional,residential,9.37,3.53,1,1,Green,B
196,1,0,recycled,green,0.55,0.74,,0,1,1992,eco,conventional,institutional,10.12,4.62,0,1,Non-Green,B
197,0,1,wood,green,0.62,0.18,,1,0,1972,standard,conventional,residential,77.77,36.01,0,0,Non-Green,E
198,1,1,bamboo,flat,0.75,0.28,LEED,1,0,2021,none,renewable,commercial,31.83,13.85,0,1,Non-Green,E
199,1,1,concrete,flat,0.37,0.53,BREEAM,1,0,1989,standard,conventional,institutional,43.48,20.24,1,0,Green,D
200,1,1,bamboo,flat,0.79,0.14,LEED,1,0,1968,eco,renewable,institutional,9.89,5.33,1,0,Non-Green,D
201,1,0,recycled,green,0.62,0.15,LEED,0,1,1967,standard,conventional,institutional,11.17,5.64,1,0,Green,C
202,1,0,bamboo,flat,0.87,0.76,LEED,0,0,1996,eco,conventional,residential,5.0,1.0,0,0,Green,A
203,0,0,bamboo,green,0.79,0.59,GreenMark,0,1,1984,standard,renewable,commercial,7.15,3.37,0,1,Non-Green,B
204,0,1,steel,flat,0.9,0.46,BREEAM,1,0,2004,eco,conventional,residential,5.0,1.41,0,1,Green,A
205,0,0,wood,green,0.61,0.21,,0,0,1962,eco,conventional,residential,20.28,9.16,0,0,Green,B
206,0,0,wood,green,0.77,0.74,,0,0,2012,none,conventional,industrial,99.69,44.49,1,1,Non-Green,D
207,0,0,wood,flat,0.22,0.62,LEED,0,0,1985,standard,conventional,commercial,20.99,9.13,1,1,Green,C
208,1,1,recycled,green,0.71,0.56,GreenMark,1,1,1971,none,conventional,industrial,58.8,27.51,0,0,Green,D
209,0,0,steel,green,0.27,0.32,,0,1,1976,none,conventional,institutional,54.02,24.88,0,0,Green,B
210,0,0,glass,green,0.72,0.58,LEED,0,0,1981,eco,renewable,commercial,10.74,4.53,0,1,Green,C
211,1,0,glass,green,0.79,0.36,BREEAM,0,1,1965,eco,conventional,commercial,6.15,3.45,0,1,Non-Green,B
212,0,1,wood,flat,0.36,0.36,GreenMark,1,0,2006,eco,conventional,institutional,5.0,1.95,0,0,Non-Green,B
213,1,1,glass,green,0.59,0.57,GreenMark,1,1,1977,none,conventional,industrial,30.04,13.57,0,1,Non-Green,B
214,1,0,glass,flat,0.53,0.2,LEED,0,0,2004,standard,conventional,residential,5.22,3.12,1,0,Green,A
215,1,1,wood,green,0.33,0.13,LEED,1,0,1978,standard,renewable,residential,10.46,4.56,0,0,Green,C
216,1,0,glass,green,0.72,0.12,LEED,0,0,2014,eco,renewable,industrial,15.53,6.33,0,0,Green,D
217,1,0,wood,green,0.63,0.65,LEED,0,0,1987,none,renewable,residential,17.02,7.46,0,0,Green,D
218,1,1,wood,green,0.64,0.16,GreenMark,1,0,1964,none,conventional,industrial,64.43,28.53,0,0,Non-Green,D
219,0,0,steel,green,0.7,0.71,GreenMark,0,0,1968,none,conventional,residential,35.68,16.01,0,1,Non-Green,C
220,0,1,wood,green,0.86,0.08,BREEAM,1,0,1985,none,renewable,institutional,10.69,4.4,1,0,Non-Green,B
221,1,1,steel,green,0.55,0.72,,1,0,1978,none,conventional,residential,62.36,27.63,0,0,Non-Green,D
222,1,0,wood,flat,0.45,0.33,,0,1,1993,eco,conventional,industrial,33.98,15.51,1,1,Non-Green,C
223,0,0,wood,flat,0.26,0.27,LEED,0,0,1983,standard,conventional,residential,46.72,21.86,1,1,Non-Green,E
224,1,0,glass,green,0.77,0.49,BREEAM,0,1,2014,eco,conventional,institutional,13.75,6.94,0,0,Green,C
225,0,0,concrete,green,0.8,0.15,BREEAM,0,0,1992,standard,renewable,industrial,8.88,3.21,0,1,Green,A
226,0,0,wood,flat,0.84,0.02,LEED,0,0,2009,none,conventional,commercial,47.38,21.45,0,1,Non-Green,D
227,1,1,recycled,green,0.26,0.51,,1,0,1974,none,renewable,commercial,21.02,9.22,0,0,Green,B
